realm_record_id,operator_name,address,phone,email,digital_contact_type,website,carrier_type,equipment_and_services,operating_regions,pos_matching_fit,country,verification_status,confidence,source_urls,research_subject
RCN-AU-0001,Allied Express Transport,3 Murray Jones Drive Bankstown Aerodrome NSW 2200,13 13 73,info@alliedexpress.com.au,public email,https://www.alliedexpress.com.au/,"road freight, courier, local distribution, national distribution","Courier service, taxi truck service, local distribution, national distribution","NSW, VIC, QLD, SA, WA, Australia wide",Good fit for in-line quote matching due to comprehensive national road freight and courier services.,Australia,verified from official/trusted sources,High,https://www.alliedexpress.com.au/,Allied Express Australia https://www.alliedexpress.com.au
RCN-AU-0002,Aurizon,"900 Ann Street, Fortitude Valley QLD 4006",13 23 32,contact form,contact form,https://www.aurizon.com.au,rail freight,"Bulk, Coal, Containerised Freight, Network",Australia wide,"Aurizon is a major rail freight operator handling bulk, coal, and containerised freight across Australia, making it suitable for point-of-sale load matching by location, capacity, and equipment type.",Australia,verified from official/trusted sources,High,https://www.aurizon.com.au;https://www.aurizon.com.au/contact,Aurizon rail freight Australia https://www.aurizon.com.au
RCN-AU-0003,Ausken Logistics Australia,"Unit 29/74 Willandra Dr, Epping VIC 3076","(+61) 3 9191 0075, (+61) 402 822 449",info@ausken.com.au,public email,https://www.ausken.com.au,"International Freight Forwarding, Logistics, Air Cargo, Ocean Cargo, Road Freight, Rail Freight","Logistics Consulting Services, Crane Services, Truck Freight, Warehousing Services, Packing Services, Container Transport Services, End to End Logistics and Transport Services",Australia wide,"Suitable for point-of-sale load matching by location, capacity and equipment type due to diverse service offerings.",Australia,verified from official/trusted sources,High,https://www.ausken.com.au,Ausken Logistics Australia https://www.ausken.com.au
RCN-AU-0004,Australia Post,480 Swan St Richmond VIC 3121,13 7678,contact form,contact form,https://auspost.com.au,"Parcels freight, mail, postal services","Parcel shipping, mail letters, domestic delivery, international delivery, Express Post, Parcel Post, bulk mail, specialized wine services, medical services, local pick up and delivery, next day delivery, business packaging, MyPost Business, eParcel Contract",Australia wide,"Australia Post appears suitable for point-of-sale load matching by location, capacity, and equipment type due to its extensive national network and diverse range of parcel and mail services.",Australia,verified from official/trusted sources,High,https://auspost.com.au;https://www.directory.gov.au/portfolios/infrastructure-transport-regional-development-communications-and-arts/australian-postal-corporation/head-office;https://www.transparency.gov.au/publications/communications-and-the-arts/australian-postal-corporation/australian-postal-corporation-annual-report-2023-24/other-important-information/corporate-directory,Australia Post parcels freight https://auspost.com.au
RCN-AU-0005,Australian Transport & Logistics Co P/L,"Gate B9 Bumborah Point Road, Port Botany NSW 2036",02 9316 7342,info@austransport.com.au,public email,https://austransport.com.au,"road freight, cold chain, container cartage, international freight forwarding, airfreight, hotshot services","door to door service, refrigerated transport, container consolidation, container deconsolidation, international forwarding, airfreight, over-dimensional loads, mining equipment transport, factory moves, warehousing, underbond storage, Customs-approved monitored depot, pallet racking, wash bay, temperature-controlled storage, secure loading zones, Hotshot Services, single driver direct drive, 2-up driver direct drive, live tracking updates","Australia wide, Sydney Metro","Australian Transport & Logistics Co P/L offers diverse services including local, interstate, temperature-controlled, container, international freight forwarding, airfreight, and hotshot services with nationwide reach and live tracking, making them suitable for point-of-sale load matching by location, capacity, and equipment type.",Australia,verified from official/trusted sources,High,https://austransport.com.au,Australian Transport & Logistics Co P/L https://austransport.com.au
RCN-AU-0006,Border Express Australia,"140-144 Link Road, Melbourne Airport, VIC 3045",(03) 8347 5400,contact form,contact form,https://www.borderexpress.com.au,"road freight, parcel express, bulk freight","bulk distribution, parcel distribution, warehousing, supply chain solutions",Australia wide,"Border Express Australia appears suitable for in-line quote matching due to its nationwide network, bulk and parcel express services, and warehousing capabilities.",Australia,verified from official/trusted sources,High,https://www.borderexpress.com.au;https://www.borderexpress.com.au/customer-service/;https://www.borderexpress.com.au/network/;https://au.linkedin.com/company/border-express;https://www.zoominfo.com/c/border-express-pty-ltd/352607442;https://craft.co/border-express/locations,Border Express Australia https://www.borderexpress.com.au
RCN-AU-0007,CFFWORLD Transport Australia,"Level 26, Suite 1, 1 - 7 Bligh Street Sydney NSW 2000 Australia",+61 1300 887 612,operations@cffworld.com,public email,https://www.cffworld.com,"road freight, rail freight, sea freight, air freight, freight forwarding, customs brokerage","FCL shipments, LCL shipments, time-critical air freight, road transport, rail transport, RORO, OOG, breakbulk cargo, unitised cargo, customs clearance, quarantine approvals, biosecurity approvals, duty valuations, tracking","Australia wide, Melbourne, Sydney, Brisbane, Adelaide, Perth, Fremantle, Darwin, Hobart","CFFWORLD Transport is a strong fit for REALM in-line quote matching due to its comprehensive freight services, diverse equipment handling capabilities, and extensive Australian operating regions.",Australia,verified from official/trusted sources,High,https://www.cffworld.com,CFFWORLD Transport Australia https://www.cffworld.com
RCN-AU-0008,CRL Express Australia,"Suite 1C, 10 Abbotts Road, Dandenong South, VIC 3175",1300 595 999,CustomerExcellence@crlexpress.com,public email,https://www.crlexpress.com/,"road freight, 3PL, national linehaul, rail freight, air freight, contracted logistics","National Road Freight, National Warehousing And Distribution, National Linehaul Services (FTL), Ugly Freight, Dangerous Goods handling, Door To Door Service, 3PL Warehousing, Online Booking System, Breakbulk Pallets",Australia wide,"CRL Express Australia offers a wide range of freight services including road, rail, and air freight, 3PL warehousing, and national linehaul services, making them suitable for point-of-sale load matching by location, capacity, and equipment type.",Australia,verified from official/trusted sources,High,https://www.crlexpress.com/;https://www.crlexpress.com/contact/,CRL Express Australia https://www.crlexpress.com.au
RCN-AU-0009,CRYOPDP Australia,"Unit 9, 7 Meridian Place, Bella Vista NSW 2153, Australia",1300 487 944,AU-communication@cryopdp.com,public email,https://www.criticaltransport.com.au/,"Temperature-controlled logistics, express courier, specialist transport, pharmaceutical courier, medical courier","Temperature-controlled logistics, packaging, Direct-to-Patient, Lab Move Solutions, Medical Device Shipping Logistics, Temperature-Controlled Packaging, Pick & Pack Solutions, Transportation Services, Streamline Clinical Trials, Project Management and Consultancy, Global Control Tower Services, Customs Clearance Services, Study Setup Center, Systems & Technologies",Australia wide,"This operator appears suitable for point-of-sale load matching due to its specialized temperature-controlled logistics for life sciences and healthcare cargo, with clear operating regions in Australia and a comprehensive list of services and equipment.",Australia,verified from official/trusted sources,High,https://www.criticaltransport.com.au/;https://cryopdp.com/,Critical Transport Solutions Australia https://criticaltransport.com.au
RCN-AU-0010,CTI Logistics Limited,"1 Drummond Place, West Perth, WA 6005",(08) 9422 1100,corporate@ctilogistics.com,public email,https://www.ctilogistics.com,"Courier, Road Freight, Freight Forwarding, Warehousing and Distribution, Temperature Controlled Logistics, Mining Logistics","750+ vehicles, Semi-Trailers, Extendable Trailers, Tilt Trays, Truck Mounted Cranes, Container Swinglifters, 3PL warehousing, e-commerce fulfillment, bulk storage, temperature-controlled storage, mining supply base support, document storage, archiving, shredding","WA, SA, NSW, VIC, QLD, Perth, Adelaide, Melbourne, Sydney, Brisbane, Karratha, Broome, Bunbury","CTI Logistics offers a wide range of services and operates across multiple Australian states, making them suitable for point-of-sale load matching by location, capacity, and equipment type.",Australia,verified from official/trusted sources,High,https://www.ctilogistics.com;https://www.ctilogistics.com/contact/;https://www.ctilogistics.com/about/corporate-information/;https://www.facebook.com/CtiLogisticsLimited/;https://www.zoominfo.com/c/cti-logistics-ltd/25659893,CTI Logistics Australia https://www.ctilogistics.com
